Item,Price,Weight
631,731,59
632,51,70
633,352,28
634,175,36
635,502,6
636,838,84
637,802,54
638,257,48
639,140,59
640,878,83
641,302,91
642,533,43
643,261,13
644,112,31
645,372,90
646,801,16
647,515,80
648,810,71
649,890,62
650,633,70
651,383,63
652,56,25
653,630,96
654,921,63
655,140,15
656,34,55
657,214,69
658,935,81
659,347,48
660,123,34
661,995,14
662,567,81
663,331,76
664,529,37
665,885,34
666,439,6
667,669,20
668,112,42
669,861,57
670,213,89
671,290,24
672,537,88
673,900,44
674,813,22
675,425,85
676,638,64
677,858,53
678,148,34
679,609,48
680,112,4
681,61,32
682,606,10
683,723,92
684,707,79
685,744,21
686,281,78
687,55,52
688,781,86
689,328,37
690,963,95
691,851,2
692,931,11
693,734,34
694,522,8
695,711,15
696,923,13
697,77,98
698,318,77
699,981,53
700,405,84
701,620,89
702,18,53
703,784,10
704,33,92
705,521,40
706,454,20
707,254,40
708,807,84
709,338,92
710,149,92
711,810,35
712,926,12
713,912,87
714,721,100
715,955,84
716,315,35
717,75,65
718,853,71
719,76,56
720,444,86
721,677,76
722,52,77
723,615,49
724,760,12
725,175,74
726,481,47
727,892,13
728,289,69
729,620,34
730,308,65
731,732,8
732,361,87
733,965,52
734,997,49
735,361,25
736,116,94
737,391,89
738,911,70
739,437,59
740,101,27
741,192,25
742,801,20
743,697,96
744,712,39
745,252,10
746,988,19
747,908,20
748,62,16
749,993,96
750,476,76
751,684,26
752,739,28
753,406,55
754,836,60
755,431,13
756,809,82
757,704,93
758,959,96
759,702,40
760,340,35
761,736,17
762,12,16
763,361,83
764,751,90
765,67,91
766,549,73
767,272,57
768,240,90
769,206,64
770,285,23
771,699,57
772,624,1
773,26,78
774,958,76
775,753,48
776,690,91
777,774,71
778,897,62
779,777,26
780,508,20
781,794,57
782,144,2
783,185,10
784,950,94
785,477,47
786,301,36
787,423,41
788,491,1
789,319,87
790,497,94
791,990,75
792,553,81
793,414,86
794,179,95
795,661,42
796,674,61
797,861,90
798,971,46
799,974,12
800,263,22
801,702,3
802,278,63
803,220,65
804,553,21
805,311,14
806,234,79
807,227,64
808,264,100
809,59,100
810,2,52
811,137,41
812,762,49
813,802,1
814,295,51
815,576,35
816,161,77
817,105,20
818,588,78
819,942,85
820,319,46
821,898,75
822,761,100
823,505,93
824,193,87
825,4,8
826,520,15
827,712,70
828,985,42
829,257,9
830,458,72
831,509,39
832,152,25
833,142,94
834,359,72
835,827,51
836,131,13
837,379,84
838,195,74
839,418,71
840,737,31
841,133,65
842,406,23
843,9,59
844,260,80
845,594,24
846,491,1
847,966,76
848,857,61
849,551,51
850,491,42
851,902,41
852,168,12
853,260,73
854,847,61
855,577,14
856,110,51
857,46,87
858,310,18
859,270,21
860,232,61
861,381,59
862,6,95
863,990,56
864,282,12
865,525,99
866,886,26
867,484,70
868,378,58
869,816,61
870,704,83
871,981,47
872,810,94
873,930,82
874,322,37
875,378,46
876,327,23
877,245,21
878,919,39
879,900,25
880,976,8
881,912,97
882,341,14
883,766,49
884,957,70
885,190,77
886,570,57
887,720,67
888,981,75
889,597,13
890,386,24
891,452,51
892,939,60
893,456,79
894,772,77
895,123,49
896,876,39
897,359,68
898,79,61
899,975,9
900,925,53
901,228,92
902,344,15
903,213,95
904,345,9
905,870,22
906,230,65
907,54,17
908,308,37
909,145,47
910,857,24
911,424,42
912,140,11
913,374,2
914,262,40
915,340,42
916,506,60
917,156,33
918,864,60
919,988,37
920,806,69
921,823,80
922,268,47
923,759,43
924,878,14
925,766,35
926,806,11
927,591,35
928,704,92
929,766,5
930,979,49
931,991,12
932,282,34
933,456,74
934,714,35
935,337,10
936,65,80
937,427,1
938,415,98
939,988,42
940,296,39
941,409,20
942,410,21
943,308,97
944,11,21
945,765,86
946,506,74
947,215,74
948,102,45
949,557,86
950,891,73
951,790,81
952,132,59
953,455,37
954,198,76
955,242,39
956,452,47
957,196,58
958,202,77
959,522,10
960,778,97
961,670,93
962,49,25
963,464,52
964,325,24
965,179,89
966,333,10
967,521,33
968,607,9
969,879,87
970,697,47
971,187,32
972,531,72
973,982,77
974,468,10
975,578,75
976,443,2
977,571,20
978,239,75
979,438,21
980,845,2
981,806,39
982,369,26
983,331,89
984,769,15
985,904,96
986,110,45
987,222,70
988,566,69
989,823,41
990,868,96
991,827,62
992,189,29
993,119,75
994,582,25
995,523,75
996,754,19
997,775,53
998,351,9
999,62,37
1000,316,27
1001,934,92
1002,977,51
1003,487,21
1004,659,33
1005,886,61
1006,717,89
1007,333,18
1008,684,22
1009,802,41
1010,503,42
1011,78,67
1012,722,50
1013,719,97
1014,90,5
1015,891,81
1016,944,48
1017,141,38
1018,771,62
1019,278,8
1020,704,11
1021,827,99
1022,72,52
1023,388,43
1024,832,4
1025,799,65
1026,270,56
1027,103,89
1028,936,98
1029,739,62
1030,494,91
1031,960,45
1032,15,27
1033,924,26
1034,149,6
1035,702,83
1036,280,21
1037,601,94
1038,986,39
1039,23,4
1040,557,47
1041,87,48
1042,989,68
1043,83,93
1044,977,49
1045,799,94
1046,152,12
1047,211,52
1048,674,83
1049,177,20
1050,649,29
1051,346,40
1052,263,85
1053,806,100
1054,178,87
1055,649,45
1056,633,32
1057,58,97
1058,348,17
1059,739,48
1060,354,26
1061,548,70
1062,433,94
1063,301,92
1064,241,32
1065,11,22
1066,93,70
1067,70,60
1068,397,28
1069,368,96
1070,301,96
1071,337,41
1072,259,97
1073,507,77
1074,174,90
1075,994,17
1076,616,35
1077,52,70
1078,743,39
1079,850,15
1080,163,15
1081,920,52
1082,408,85
1083,860,7
1084,646,42
1085,729,79
1086,150,66
1087,521,17
1088,936,74
1089,629,49
1090,857,83
1091,40,37
1092,800,78
1093,7,6
1094,663,90
1095,33,17
1096,6,66
1097,448,44
1098,182,24
1099,384,86
1100,487,76
1101,905,16
1102,652,94
1103,809,67
1104,161,68
1105,443,2
1106,710,18
1107,334,68
1108,441,7
1109,281,76
1110,725,63
1111,696,53
1112,13,40
1113,255,49
1114,468,85
1115,751,41
1116,974,78
1117,173,47
1118,550,70
1119,481,13
1120,382,75
1121,91,36
1122,777,91
1123,430,11
1124,197,80
1125,402,84
1126,753,64
1127,952,89
1128,727,86
1129,128,85
1130,14,13
1131,619,6
1132,280,88
1133,466,88
1134,294,54
1135,353,92
1136,360,48
1137,755,27
1138,1000,37
1139,962,56
1140,468,86
1141,945,31
1142,659,81
1143,526,63
1144,837,21
1145,505,90
1146,225,61
1147,971,52
1148,440,55
1149,861,82
1150,13,63
1151,427,19
1152,911,89
1153,390,35
1154,541,81
1155,126,2
1156,823,12
1157,868,68
1158,703,43
1159,149,26
1160,997,40
1161,866,59
1162,859,6
1163,248,10
1164,114,33
1165,932,10
1166,911,63
1167,632,51
1168,594,52
1169,758,17
1170,487,19
1171,40,11
1172,101,51
1173,607,4
1174,759,24
1175,784,24
1176,464,9
1177,913,36
1178,318,65
1179,107,64
1180,100,95
1181,384,63
1182,136,10
1183,166,52
1184,235,29
1185,569,61
1186,622,82
1187,86,41
1188,84,76
1189,394,73
1190,343,62
1191,212,77
1192,711,86
1193,839,89
1194,56,29
1195,776,73
1196,122,28
1197,881,86
1198,668,9
1199,250,2
1200,583,45
1201,136,94
1202,386,57
1203,648,55
1204,136,16
1205,516,22
1206,383,47
1207,258,74
1208,392,39
1209,672,69
1210,416,3
1211,945,27
1212,514,64
1213,574,60
1214,697,15
1215,975,11
1216,984,54
1217,701,97
1218,515,63
1219,541,87
1220,678,89
1221,161,84
1222,815,7
1223,82,54
1224,642,25
1225,389,66
1226,612,94
1227,269,13
1228,120,18
1229,940,50
1230,724,75
1231,157,22
1232,301,99
1233,808,36
1234,619,14
1235,763,98
1236,395,3
1237,351,22
1238,731,60
1239,945,67
1240,10,42
1241,293,32
1242,449,41
1243,622,50
1244,240,6
1245,554,59
1246,855,95
1247,225,67
1248,306,98
1249,998,31
1250,394,79
1251,987,63
1252,868,43
1253,583,21
1254,32,6
1255,948,63
1256,805,18
1257,333,72
1258,847,51
1259,233,22
1260,959,69
1261,639,74
1262,412,74
1263,732,1
1264,666,86
1265,160,27
1266,957,95
1267,417,87
1268,142,32
1269,148,6
1270,345,39
1271,901,45
1272,741,77
1273,885,99
1274,872,95
1275,125,94
1276,612,31
1277,54,35
1278,314,25
1279,589,70
1280,434,80
1281,643,20
1282,320,2
1283,559,97
1284,655,78
1285,216,68
1286,108,74
1287,505,29
1288,373,15
1289,595,52
1290,897,46
1291,626,75
1292,184,34
1293,549,39
1294,958,94
1295,640,18
1296,790,65
1297,194,24
1298,237,29
1299,499,99
1300,232,75
1301,711,69
1302,237,60
1303,337,48
1304,85,85
1305,97,91
1306,739,70
1307,305,50
1308,101,88
1309,451,61
1310,174,56
1311,542,45
1312,156,73
1313,999,32
1314,158,3
1315,935,82
1316,169,56
1317,20,16
1318,221,28
1319,271,32
1320,853,85
1321,205,45
1322,987,22
1323,262,43
1324,345,66
1325,226,37
1326,884,80
1327,880,94
1328,844,86
1329,625,41
1330,485,82
1331,443,24
1332,286,65
1333,539,85
1334,673,61
1335,324,26
1336,490,28
1337,985,99
1338,243,25
1339,534,30
1340,278,34
1341,788,44
1342,139,86
1343,799,23
1344,419,94
1345,2,55
1346,27,44
1347,342,24
1348,602,34
1349,440,65
1350,357,98
1351,604,56
1352,238,2
1353,476,58
1354,395,97
1355,45,69
1356,790,40
1357,417,89
1358,536,47
1359,477,100
1360,60,32
1361,363,79
1362,618,86
1363,61,32
1364,428,69
1365,379,33
1366,679,33
1367,122,48
1368,933,34
1369,695,89
1370,811,44
1371,18,31
1372,360,11
1373,874,54
1374,30,5
1375,975,100
1376,544,55
1377,542,1
1378,389,97
1379,100,26
1380,575,48
1381,56,99
1382,7,92
1383,600,48
1384,750,54
1385,998,64
1386,184,76
1387,710,12
1388,996,69
1389,453,28
1390,587,28
1391,340,33
1392,99,8
1393,995,72
1394,169,12
1395,859,27
1396,43,72
1397,172,30
1398,672,54
1399,661,87
1400,230,70
1401,988,27
1402,903,74
1403,410,5
1404,110,99
1405,156,85
1406,431,19
1407,374,24
1408,941,59
1409,160,69
1410,66,39
1411,36,55
1412,522,63
1413,403,85
1414,414,3
1415,433,33
1416,300,73
1417,124,42
1418,486,32
1419,379,41
1420,614,21
1421,251,60
1422,469,54
1423,554,76
1424,3,91
1425,669,17
1426,239,6
1427,853,85
1428,974,80
1429,713,63
1430,857,36
1431,369,10
1432,420,27
1433,938,37
1434,99,17
1435,122,38
1436,304,26
1437,732,87
1438,517,95
1439,17,4
1440,350,65
1441,543,52
1442,837,5
1443,109,51
1444,386,5
1445,402,38
1446,200,34
1447,505,55
1448,501,7
1449,821,64
1450,939,70
1451,87,5
1452,27,30
1453,505,48
1454,373,78
1455,11,18
1456,81,51
1457,303,53
1458,988,21
1459,988,21
1460,418,4
1461,747,91
1462,994,86
1463,115,92
1464,47,74
1465,969,80
1466,768,51
1467,68,2
1468,500,3
1469,699,97
1470,625,2
1471,978,92
1472,134,89
1473,634,97
1474,408,42
1475,59,88
1476,359,35
1477,734,76
1478,584,58
1479,1000,20
1480,559,15
1481,943,86
1482,52,30
1483,1,58
1484,110,10
1485,631,24
1486,132,3
1487,300,95
1488,206,36
1489,40,41
1490,927,95
1491,351,55
1492,137,29
1493,73,82
1494,431,8
1495,818,92
1496,516,13
1497,82,99
1498,739,47
1499,524,44
1500,85,100
1501,515,64
1502,831,88
1503,10,14
1504,822,38
1505,595,24
1506,700,63
1507,490,51
1508,968,49
1509,306,4
1510,957,96
1511,870,90
1512,814,100
1513,38,88
1514,387,34
1515,534,85
1516,527,17
1517,943,61
1518,649,41
1519,967,42
1520,766,36
1521,609,78
1522,940,9
1523,951,72
1524,799,92
1525,323,49
1526,563,2
1527,120,32
1528,598,87
1529,55,48
1530,966,38
1531,41,11
1532,84,76
1533,522,42
1534,348,89
1535,601,90
1536,41,11
1537,101,41
1538,968,88
1539,122,45
1540,716,4
1541,625,21
1542,387,50
1543,618,18
1544,736,51
1545,510,55
1546,696,70
1547,998,94
1548,599,52
1549,760,96
1550,110,70
1551,574,31
1552,452,33
1553,378,51
1554,658,76
1555,508,17
1556,749,96
1557,486,15
1558,613,71
1559,17,83
1560,30,54
1561,950,82
1562,946,38
1563,675,35
1564,375,78
1565,9,21
1566,990,9
1567,241,54
1568,285,86
1569,523,59
1570,289,16
1571,406,54
1572,476,79
1573,433,18
1574,860,59
1575,914,53
1576,124,37
1577,462,45
1578,321,57
1579,358,66
1580,343,54
1581,877,53
1582,918,48
1583,349,85
1584,978,53
1585,410,36
1586,993,16
1587,226,24
1588,718,53
1589,707,81
1590,702,96
1591,237,71
1592,553,62
1593,134,89
1594,67,68
1595,877,60
1596,637,30
1597,962,47
1598,129,31
1599,389,28
1600,766,20
1601,98,26
1602,292,79
1603,641,31
1604,314,38
1605,967,37
1606,266,89
1607,864,97
1608,671,7
1609,803,29
1610,845,17
1611,926,56
1612,143,51
1613,315,26
1614,607,55
1615,811,45
1616,338,85
1617,29,20
1618,679,15
1619,935,80
1620,530,10
1621,566,62
1622,226,34
1623,576,63
1624,163,77
1625,815,32
1626,975,77
1627,481,34
1628,474,68
1629,757,49
1630,279,60
1631,479,24
1632,551,22
1633,582,64
1634,103,100
1635,543,48
1636,302,42
1637,644,17
1638,151,22
1639,87,15
1640,693,51
1641,908,43
1642,106,24
1643,486,21
1644,730,97
1645,376,74
1646,245,82
1647,212,63
1648,487,85
1649,708,74
1650,699,51
1651,734,56
1652,788,41
1653,607,22
1654,119,57
1655,182,13
1656,318,56
1657,256,29
1658,682,3
1659,632,81
1660,277,55
1661,427,55
1662,108,78
1663,144,9
1664,40,51
1665,451,31
1666,183,98
1667,848,63
1668,62,62
1669,816,73
1670,166,26
1671,818,67
1672,662,34
1673,639,36
1674,383,6
1675,835,10
1676,656,42
1677,762,58
1678,82,59
1679,3,88
1680,352,62
1681,127,39
1682,704,54
1683,59,64
1684,657,81
1685,598,73
1686,222,19
1687,277,65
1688,487,47
1689,963,65
1690,561,63
1691,449,68
1692,98,82
1693,844,81
1694,544,98
1695,912,20
1696,377,41
1697,426,41
1698,439,13
1699,356,81
1700,192,90
1701,697,65
1702,974,85
1703,791,44
1704,190,16
1705,206,57
1706,636,83
1707,52,7
1708,638,53
1709,145,19
1710,101,13
1711,17,95
1712,461,49
1713,97,68
1714,454,91
1715,480,62
1716,81,72
1717,669,99
1718,594,40
1719,643,40
1720,843,91
1721,159,33
1722,450,30
1723,114,36
1724,627,54
1725,868,76
1726,460,84
1727,429,24
1728,1,66
1729,746,39
1730,591,82
1731,982,32
1732,690,58
1733,377,26
1734,305,85
1735,402,60
1736,100,3
1737,710,88
1738,31,34
1739,109,67
1740,678,33
1741,950,34
1742,106,96
1743,165,27
1744,914,74
1745,542,10
1746,734,36
1747,932,10
1748,361,11
1749,321,32
1750,123,6
1751,385,70
1752,247,51
1753,302,65
1754,409,93
1755,96,59
1756,184,44
1757,451,97
1758,353,49
1759,241,59
1760,984,21
1761,835,32
1762,553,97
1763,439,3
1764,952,1
1765,620,36
1766,893,100
1767,501,93
1768,701,93
1769,926,36
1770,654,85
1771,294,77
1772,14,100
1773,416,96
1774,537,14
1775,165,86
1776,272,52
1777,549,79
1778,264,10
1779,120,61
1780,72,20
1781,839,54
1782,765,73
1783,630,100
1784,676,23
1785,123,28
1786,216,81
1787,511,80
1788,976,52
1789,902,21
1790,361,27
1791,1,38
1792,766,47
1793,203,27
1794,37,98
1795,88,53
1796,298,2
1797,196,70
1798,565,88
1799,579,78
1800,186,7
1801,494,88
1802,112,85
1803,515,17
1804,865,32
1805,967,58
1806,486,89
1807,602,8
1808,416,39
1809,430,25
1810,836,93
1811,895,78
1812,938,31
1813,60,4
1814,179,58
1815,724,22
1816,321,96
1817,925,100
1818,794,51
1819,228,11
1820,16,7
1821,487,92
1822,991,87
1823,911,45
1824,174,44
1825,631,51
1826,970,17
1827,856,84
1828,464,5
1829,979,47
1830,141,11
1831,874,99
1832,903,19
1833,545,57
1834,799,57
1835,457,97
1836,432,97
1837,323,41
1838,920,46
1839,835,86
1840,402,29
1841,365,75
1842,714,100
1843,764,92
1844,786,34
1845,650,67
1846,30,30
1847,607,52
1848,674,1
1849,827,71
1850,262,52
1851,168,75
1852,22,57
1853,112,60
1854,162,53
1855,525,75
1856,227,86
1857,889,96
1858,984,28
1859,180,98
1860,840,34
1861,559,71
1862,941,54
1863,714,90
1864,121,24
1865,763,76
1866,537,60
1867,374,29
1868,820,14
1869,584,75
1870,132,48
1871,504,73
1872,204,54
1873,871,94
1874,102,11
1875,963,95
1876,914,34
1877,897,50
1878,844,41
1879,659,91
1880,401,55
1881,839,14
1882,815,8
1883,596,43
1884,63,12
1885,670,7
1886,71,49
1887,939,29
1888,521,11
1889,654,47
1890,119,73
1891,438,66
1892,381,52
1893,482,100
1894,417,62
1895,911,82
1896,626,30
1897,738,10
1898,790,76
1899,580,67
1900,356,9
1901,388,30
1902,171,24
1903,182,6
1904,58,95
1905,62,79
1906,887,66
1907,9,18
1908,178,20
1909,166,48
1910,19,33
1911,166,23
1912,421,11
1913,93,50
1914,997,46
1915,392,70
1916,551,64
1917,323,53
1918,814,20
1919,345,66
1920,382,74
1921,284,30
1922,19,48
1923,88,46
1924,272,91
1925,785,85
1926,107,14
1927,272,25
1928,813,16
1929,668,36
1930,214,76
1931,102,32
1932,808,75
1933,949,98
1934,860,63
1935,682,10
1936,362,79
1937,790,7
1938,8,3
1939,840,51
1940,356,48
1941,958,63
1942,297,32
1943,825,22
1944,510,71
1945,789,59
1946,765,93
1947,112,27
1948,904,75
1949,738,96
1950,441,65
1951,907,55
1952,658,13
1953,165,93
1954,437,41
1955,224,65
1956,990,89
1957,460,93
1958,522,5
1959,889,62
1960,460,35
1961,893,83
1962,474,17
1963,602,51
1964,404,1
1965,646,29
1966,277,49
1967,129,72
1968,402,16
1969,851,4
1970,270,78
1971,605,13
1972,636,60
1973,973,96
1974,140,43
1975,285,71
1976,781,10
1977,703,90
1978,594,46
1979,772,34
1980,25,87
1981,671,49
1982,339,38
1983,724,6
1984,372,74
1985,349,90
1986,892,25
1987,426,50
1988,542,78
1989,386,41
1990,466,28
1991,280,6
1992,999,54
1993,802,100
1994,510,25
1995,44,58
1996,272,74
1997,828,94
1998,914,85
1999,273,44
2000,20,48
2001,414,4
2002,838,48
2003,287,9
2004,921,8
2005,277,71
2006,579,73
2007,451,44
2008,183,11
2009,942,31
2010,270,2
2011,84,90
2012,812,89
2013,954,10
2014,930,80
2015,562,18
2016,336,93
2017,755,38
2018,887,2
2019,9,87
2020,795,52
2021,827,29
2022,203,100
2023,19,51
2024,880,59
2025,278,39
2026,12,23
2027,131,62
2028,885,86
2029,412,92
2030,948,88
2031,575,21
2032,50,60
2033,641,41
2034,607,63
2035,71,86
2036,490,26
2037,110,27
2038,664,96
2039,253,68
2040,65,34
2041,547,50
2042,188,3
2043,731,74
2044,166,22
2045,189,42
2046,255,65
2047,86,93
2048,640,13
2049,844,29
2050,128,79
2051,715,32
2052,315,78
2053,565,96
2054,542,69
2055,119,76
2056,982,24
2057,551,80
2058,26,93
2059,735,15
2060,253,51
2061,687,4
2062,803,10
2063,138,26
2064,484,93
2065,340,100
2066,60,16
2067,162,99
2068,357,62
2069,672,19
2070,278,73
2071,559,94
2072,693,90
2073,666,70
2074,546,89
2075,899,46
2076,244,68
2077,556,45
2078,864,90
2079,972,5
2080,353,1
2081,738,67
2082,129,9
2083,642,24
2084,432,30
2085,910,97
2086,508,43
2087,806,73
2088,342,74
2089,901,26
2090,853,97
2091,393,5
2092,337,40
2093,844,56
2094,853,86
2095,976,49
2096,958,50
2097,830,12
2098,361,60
2099,586,9
2100,816,69
2101,882,78
2102,125,6
2103,907,43
2104,553,32
2105,749,96
2106,218,47
2107,436,44
2108,671,55
2109,436,16
2110,308,1
2111,773,62
2112,500,16
2113,212,49
2114,811,20
2115,644,72
2116,553,41
2117,694,100
2118,518,68
2119,827,24
2120,505,78
2121,189,25
2122,416,3
2123,759,55
2124,196,33
2125,286,99
2126,528,43
2127,984,18
2128,625,41
2129,289,18
2130,54,93
2131,537,89
2132,312,85
2133,50,40
2134,83,50
2135,883,80
2136,930,73
2137,335,80
2138,984,94
2139,60,8
